,SiteName,SiteId,County,TWD67Lon,TWD67Lat
82,墾雷,C0R620,屏東縣,120.8472,21.9027
83,福山植物,01U880,宜蘭縣,121.6047,24.7539
84,七股,C0X310,臺南市,120.0782,23.149
85,五分山,C0AH30,新北市,121.7726,25.073
86,關山,C0S890,臺東縣,121.1669,23.0413
87,觀霧2,C0E860,苗栗縣,121.0614,24.4985
88,萬大林道,C0I490,南投縣,121.0833,23.93
89,梅峰,C0I480,南投縣,121.1654,24.0871
90,杉林溪,C1I470,南投縣,120.7783,23.6413
91,棋山,C0K560,雲林縣,120.5953,23.6882
92,鹿寮,C0X300,臺南市,120.4692,23.3878
93,山美,C0M830,嘉義縣,120.6601,23.3856
94,達邦,C0M820,嘉義縣,120.7414,23.4558
95,里佳,C0M810,嘉義縣,120.7085,23.3909
96,茶山,C0M800,嘉義縣,120.6567,23.3008
97,蔦松,C0K550,雲林縣,120.2216,23.5161
98,口湖,C1K540,雲林縣,120.1724,23.5871
99,線浸林道,C1I510,南投縣,120.8248,23.7633
100,望鄉山,C1I450,南投縣,120.9362,23.596
101,南投,C0I460,南投縣,120.6873,23.9115
102,左營,C0V810,高雄市,120.2769,22.6767
103,信義,C0I080,南投縣,120.8428,23.6914
104,埔里,C0H890,南投縣,120.9443,23.9739
105,崙背,C0K250,雲林縣,120.3108,23.7575
106,嘉義梅山,C0M770,嘉義縣,120.5475,23.5871
107,新港,C0M790,嘉義縣,120.3376,23.555
108,六腳,C0M740,嘉義縣,120.2825,23.4946
109,鹿草,C0M780,嘉義縣,120.3002,23.4131
110,布袋,C0M750,嘉義縣,120.1597,23.3826
111,元長,C0K500,雲林縣,120.3069,23.6515
112,水林,C0K510,雲林縣,120.2378,23.5747
113,臺西,C0K530,雲林縣,120.1894,23.7033
114,竹塘,C0G750,彰化縣,120.3743,23.8484
115,莿桐,C0K480,雲林縣,120.4942,23.7629
116,大埤,C0K450,雲林縣,120.4234,23.6478
117,民雄,C0M760,嘉義縣,120.4203,23.5535
118,雲林東勢,C0K520,雲林縣,120.2447,23.6767
119,古坑,C0K490,雲林縣,120.5516,23.6561
120,大城,C0G740,彰化縣,120.3128,23.8542
121,林內,C0K470,雲林縣,120.6015,23.7504
122,太保,C0M680,嘉義縣,120.3233,23.4568
123,北港,C0K410,雲林縣,120.2837,23.5758
124,朴子,C0M650,嘉義縣,120.2309,23.4364
125,斗六,C0K400,雲林縣,120.533,23.7223
126,斗南,C0K460,雲林縣,120.4702,23.6805
127,溪州,C0G720,彰化縣,120.4909,23.8533
128,關子嶺,C0X240,臺南市,120.4999,23.3329
129,柳營,C0X270,臺南市,120.3655,23.259
130,嘉義市東,C0M730,嘉義市,120.4524,23.4594
131,水上,C0M690,嘉義縣,120.3808,23.4215
132,東石,C0M710,嘉義縣,120.1457,23.4607
133,大林,C0M670,嘉義縣,120.4503,23.6024
134,土庫,C0K390,雲林縣,120.3874,23.6808
135,西螺,C0K420,雲林縣,120.4593,23.8022
136,後壁,C0X260,臺南市,120.3542,23.3681
137,學甲,C0X220,臺南市,120.1741,23.2321
138,鹽水,C0X230,臺南市,120.2395,23.2743
139,中埔,C0M640,嘉義縣,120.5148,23.4271
140,竹崎,C0M700,嘉義縣,120.5474,23.5279
141,二崙,C0K440,雲林縣,120.4008,23.7746
142,溪口,C0M660,嘉義縣,120.3954,23.6059
143,褒忠,C0K430,雲林縣,120.2955,23.6927
144,將軍,C0X280,臺南市,120.1277,23.2167
145,新營,C0X250,臺南市,120.3086,23.3124
146,番路,C0M720,嘉義縣,120.546,23.4664
147,白河,C0X210,臺南市,120.4063,23.3492
148,二林,C0G730,彰化縣,120.3679,23.9051
149,名間,C0I410,南投縣,120.6933,23.8388
150,集集,C0I380,南投縣,120.7933,23.83
151,水里,C0I360,南投縣,120.8417,23.8143
152,仁愛,C0I390,南投縣,121.1241,24.0239
153,翠華,C1I430,南投縣,121.2161,24.1937
154,國姓,C0I420,南投縣,120.8469,24.0396
155,魚池,C0I370,南投縣,120.9332,23.8975
156,凌霄,C1I400,南投縣,120.9963,24.0206
157,膽曼,81S910,臺東縣,121.4047,23.2267
158,加拿國小,81S900,臺東縣,121.1229,23.0028
159,初鹿國中,81S890,臺東縣,121.0843,22.8517
160,愛國埔分,81S880,臺東縣,120.9147,22.4595
161,丹路國小,81R650,屏東縣,120.7433,22.2051
162,佳義國小,81R640,屏東縣,120.6229,22.6549
163,建山國小,81V820,高雄市,120.6748,23.1072
164,崁頭山,81O960,臺南市,120.4935,23.2696
165,新美國小,81M670,嘉義縣,120.675,23.3396
166,阿里山國,81M660,嘉義縣,120.6936,23.4708
167,和中,88T830,花蓮縣,121.7336,24.2726
168,林口(1),01A160,新北市,121.3686,25.079
169,員山子,NUP810,新北市,121.8148,25.1082
170,龍壽社區,01C570,桃園市,121.3798,25.0118
171,復興國小,NUP490,基隆市,121.6578,25.019
172,平溪旅遊,NUP460,新北市,121.7738,25.0484
173,新竹市東,C0D660,新竹市,120.9787,24.8004
174,東華,C0Z100,花蓮縣,121.5417,23.8971
175,永和,C0AH10,新北市,121.4999,25.013
176,湖口,C0D650,新竹縣,121.0354,24.9066
177,楊梅,C0C660,桃園市,121.1348,24.9141
178,六龜,C0V800,高雄市,120.6255,22.9998
179,萬山,C0V790,高雄市,120.68,22.9077
180,舊泰武,C0R600,屏東縣,120.6569,22.59
181,西大武山,C1R610,屏東縣,120.7241,22.6195
182,多納林道,C1V780,高雄市,120.7299,22.8898
183,鳳森,C0V450,高雄市,120.3845,22.5469
184,新圍,C0R160,屏東縣,120.5227,22.7413
185,屏東,C0R170,屏東縣,120.4836,22.6619
186,來義,C0R240,屏東縣,120.6171,22.5291
187,春日,C0R260,屏東縣,120.6203,22.3722
188,內門,C0V360,高雄市,120.4583,22.9769
189,阿公店,C0V400,高雄市,120.3474,22.8059
190,溪埔,C0V350,高雄市,120.4386,22.7403
191,瑪家,C0R140,屏東縣,120.6789,22.6847
192,阿禮,C0R130,屏東縣,120.7356,22.7444
193,大內,C0O860,臺南市,120.3528,23.1206
194,復興,C0V210,高雄市,120.7978,23.2242
195,月眉,C0V260,高雄市,120.5318,22.9728
196,北寮,C0O830,臺南市,120.4869,23.0816
197,新市,C0O980,臺南市,120.2904,23.0636
198,安南,C0O950,臺南市,120.1367,23.0783
199,阿蓮,C0V530,高雄市,120.3195,22.8849
200,崎頂,C0O960,臺南市,120.3612,22.9613
201,媽廟,C0O990,臺南市,120.2854,22.9935
202,虎頭埤,C0O970,臺南市,120.3398,23.0231
203,鳳山,C0V440,高雄市,120.3481,22.6486
204,赤山,C0R190,屏東縣,120.6063,22.5941
205,佳冬,C0R540,屏東縣,120.5442,22.4212
206,林邊,C0R530,屏東縣,120.5021,22.4327
207,新埤,C0R550,屏東縣,120.5748,22.4698
208,崁頂,C0R520,屏東縣,120.499,22.5166
209,新園,C0R560,屏東縣,120.4535,22.5452
210,竹田,C0R500,屏東縣,120.5359,22.5866
211,萬丹,C0R510,屏東縣,120.4824,22.5896
212,長治,C0R480,屏東縣,120.5346,22.6948
213,高樹,C0R470,屏東縣,120.5927,22.8282
214,九如,C0R490,屏東縣,120.4825,22.7423
215,林園,C0V720,高雄市,120.3866,22.5096
216,苓雅,C0V710,高雄市,120.3226,22.6245
217,三民,C0V700,高雄市,120.3033,22.6469
218,鼓山,C0V690,高雄市,120.2675,22.6251
219,楠梓,C0V670,高雄市,120.2779,22.7215
220,仁武,C0V680,高雄市,120.3397,22.7029
221,梓官,C0V610,高雄市,120.2593,22.7624
222,彌陀,C0V650,高雄市,120.2383,22.7856
223,岡山,C0V660,高雄市,120.2869,22.7988
224,永安,C0V620,高雄市,120.2288,22.8249
225,湖內,C0V640,高雄市,120.2364,22.8889
226,茄萣,C0V630,高雄市,120.1746,22.9084
227,安平,C0X190,臺南市,120.1441,22.995
228,臺南市北,C0X100,臺南市,120.1863,23.0122
229,臺南市南,C0X110,臺南市,120.1804,22.963
230,關廟,C0X170,臺南市,120.3197,22.9649
231,仁德,C0X160,臺南市,120.2498,22.9701
232,山上,C0X180,臺南市,120.3552,23.0774
233,安定,C0X150,臺南市,120.22,23.1044
234,西港,C0X140,臺南市,120.1951,23.1274
235,官田,C0X130,臺南市,120.3075,23.195
236,麻豆,C0X120,臺南市,120.2405,23.1851
237,南州,C0R580,屏東縣,120.4947,22.4877
238,麟洛,C0R570,屏東縣,120.5191,22.6526
239,大寮,C0V730,高雄市,120.3877,22.6074
240,大社,C0V770,高雄市,120.3386,22.7319
241,橋頭,C0V760,高雄市,120.2977,22.7596
242,路竹,C0V750,高雄市,120.2514,22.8566
243,旗山,C0V740,高雄市,120.4755,22.8904
